household_id,enumerator,enum_team_id,backchecker_id,bc_team_id,variable,survey_value,backcheck_value,different,interview_date,bcdate
HH020,Ben,1,2,2,children_under_15,4,4,FALSE,2026-06-03,2026-06-04
HH021,Ana,1,1,1,children_under_15,1,1,FALSE,2026-06-04,2026-06-05
HH001,Dina,2,2,2,ppi_q1_floor_solid,1,1,FALSE,2026-06-05,2026-06-06
HH002,Ana,1,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-07,2026-06-08
HH003,Ben,1,2,2,ppi_q1_floor_solid,1,1,FALSE,2026-06-11,2026-06-12
HH004,Dina,2,1,1,ppi_q1_floor_solid,1,1,FALSE,2026-06-03,2026-06-04
HH005,Dina,2,2,2,ppi_q1_floor_solid,0,0,FALSE,2026-06-06,2026-06-07
HH006,Ana,1,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-05,2026-06-06
HH007,Ana,1,2,2,ppi_q1_floor_solid,0,0,FALSE,2026-06-02,2026-06-03
HH009,Carlo,2,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-01,2026-06-02
HH010,Ben,1,2,2,ppi_q1_floor_solid,1,1,FALSE,2026-06-03,2026-06-04
HH011,Ben,1,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-02,2026-06-03
HH012,Carlo,2,2,2,ppi_q1_floor_solid,0,0,FALSE,2026-06-08,2026-06-09
HH013,Dina,2,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-03,2026-06-04
HH014,Dina,2,2,2,ppi_q1_floor_solid,0,0,FALSE,2026-06-05,2026-06-06
HH015,Ana,1,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-06,2026-06-07
HH016,Ben,1,2,2,ppi_q1_floor_solid,0,0,FALSE,2026-06-02,2026-06-03
HH017,Ana,1,1,1,ppi_q1_floor_solid,1,1,FALSE,2026-06-02,2026-06-03
HH018,Ana,1,2,2,ppi_q1_floor_solid,1,1,FALSE,2026-06-10,2026-06-11
HH019,Ben,1,1,1,ppi_q1_floor_solid,0,0,FALSE,2026-06-10,2026-06-11
HH020,Ben,1,2,2,ppi_q1_floor_solid,1,1,FALSE,2026-06-03,2026-06-04
HH021,Ana,1,1,1,ppi_q1_floor_solid,1,1,FALSE,2026-06-04,2026-06-05
HH001,Dina,2,2,2,ppi_q2_has_toilet,1,1,FALSE,2026-06-05,2026-06-06
HH002,Ana,1,1,1,ppi_q2_has_toilet,0,0,FALSE,2026-06-07,2026-06-08
HH003,Ben,1,2,2,ppi_q2_has_toilet,0,1,TRUE,2026-06-11,2026-06-12
HH004,Dina,2,1,1,ppi_q2_has_toilet,0,0,FALSE,2026-06-03,2026-06-04
HH005,Dina,2,2,2,ppi_q2_has_toilet,0,0,FALSE,2026-06-06,2026-06-07
HH006,Ana,1,1,1,ppi_q2_has_toilet,1,1,FALSE,2026-06-05,2026-06-06
HH007,Ana,1,2,2,ppi_q2_has_toilet,1,1,FALSE,2026-06-02,2026-06-03
HH009,Carlo,2,1,1,ppi_q2_has_toilet,1,1,FALSE,2026-06-01,2026-06-02
HH010,Ben,1,2,2,ppi_q2_has_toilet,1,0,TRUE,2026-06-03,2026-06-04
HH011,Ben,1,1,1,ppi_q2_has_toilet,0,0,FALSE,2026-06-02,2026-06-03
HH012,Carlo,2,2,2,ppi_q2_has_toilet,1,1,FALSE,2026-06-08,2026-06-09
HH013,Dina,2,1,1,ppi_q2_has_toilet,1,1,FALSE,2026-06-03,2026-06-04
HH014,Dina,2,2,2,ppi_q2_has_toilet,0,0,FALSE,2026-06-05,2026-06-06
HH015,Ana,1,1,1,ppi_q2_has_toilet,0,0,FALSE,2026-06-06,2026-06-07
HH016,Ben,1,2,2,ppi_q2_has_toilet,0,1,TRUE,2026-06-02,2026-06-03
HH017,Ana,1,1,1,ppi_q2_has_toilet,0,0,FALSE,2026-06-02,2026-06-03
HH018,Ana,1,2,2,ppi_q2_has_toilet,1,1,FALSE,2026-06-10,2026-06-11
HH019,Ben,1,1,1,ppi_q2_has_toilet,1,1,FALSE,2026-06-10,2026-06-11
HH020,Ben,1,2,2,ppi_q2_has_toilet,1,1,FALSE,2026-06-03,2026-06-04
HH021,Ana,1,1,1,ppi_q2_has_toilet,1,1,FALSE,2026-06-04,2026-06-05
HH001,Dina,2,2,2,ppi_q3_has_electricity,0,0,FALSE,2026-06-05,2026-06-06
HH002,Ana,1,1,1,ppi_q3_has_electricity,0,0,FALSE,2026-06-07,2026-06-08
HH003,Ben,1,2,2,ppi_q3_has_electricity,0,0,FALSE,2026-06-11,2026-06-12
HH004,Dina,2,1,1,ppi_q3_has_electricity,0,0,FALSE,2026-06-03,2026-06-04
HH005,Dina,2,2,2,ppi_q3_has_electricity,1,1,FALSE,2026-06-06,2026-06-07
HH006,Ana,1,1,1,ppi_q3_has_electricity,1,1,FALSE,2026-06-05,2026-06-06
HH007,Ana,1,2,2,ppi_q3_has_electricity,0,0,FALSE,2026-06-02,2026-06-03
HH009,Carlo,2,1,1,ppi_q3_has_electricity,1,1,FALSE,2026-06-01,2026-06-02
HH010,Ben,1,2,2,ppi_q3_has_electricity,0,0,FALSE,2026-06-03,2026-06-04
HH011,Ben,1,1,1,ppi_q3_has_electricity,0,0,FALSE,2026-06-02,2026-06-03
HH012,Carlo,2,2,2,ppi_q3_has_electricity,NA,NA,NA,2026-06-08,2026-06-09
HH013,Dina,2,1,1,ppi_q3_has_electricity,1,1,FALSE,2026-06-03,2026-06-04
HH014,Dina,2,2,2,ppi_q3_has_electricity,1,1,FALSE,2026-06-05,2026-06-06
HH015,Ana,1,1,1,ppi_q3_has_electricity,0,0,FALSE,2026-06-06,2026-06-07
HH016,Ben,1,2,2,ppi_q3_has_electricity,0,0,FALSE,2026-06-02,2026-06-03
HH017,Ana,1,1,1,ppi_q3_has_electricity,0,0,FALSE,2026-06-02,2026-06-03
HH018,Ana,1,2,2,ppi_q3_has_electricity,1,1,FALSE,2026-06-10,2026-06-11
HH019,Ben,1,1,1,ppi_q3_has_electricity,1,1,FALSE,2026-06-10,2026-06-11
HH020,Ben,1,2,2,ppi_q3_has_electricity,0,0,FALSE,2026-06-03,2026-06-04
HH021,Ana,1,1,1,ppi_q3_has_electricity,0,0,FALSE,2026-06-04,2026-06-05
