row_number_from_source_file,region_code,division_code,municipality_code,full_division_code,full_municipality_code,beis_school_id,implementing_unit,modified_coc,school_type,enroll_g7_m,enroll_g7_f,enroll_g8_m,enroll_g8_f,enroll_g9_m,enroll_g9_f,enroll_g10_m,enroll_g10_f,enroll_sn_ed_ngjhs_m,enroll_sn_ed_ngjhs_f,enroll_total_jhs_m,enroll_total_jhs_f,enroll_total_jhs_all,dropout_rate_g7_m,dropout_rate_g7_f,dropout_rate_g8_m,dropout_rate_g8_f,dropout_rate_g9_m,dropout_rate_g9_f,dropout_rate_g10_m,dropout_rate_g10_f,dropout_rate_sn_ed_ngjhs_m,dropout_rate_sn_ed_ngjhs_f,dropout_rate_total_jhs_m,dropout_rate_total_jhs_f,dropout_rate_total_jhs_all,jhs_instructional_rooms,jhs_classroom_ratio,jhs_seats,jhs_seat_ratio,jhs_toilet,jhs_toilet_ratio,jhs_computer,jhs_computer_ratio,jhs_teacher,jhs_teacher_ratio,cancel_2016,cancel_2017,cancel_2018,cancel_2019,cancel_2020,cancel_2021,cancel_2022,cancel_2023,cancel_total_20162023,cancel_average_20162023,pilot_cancel,pilot_ratio,pilot_shift,randomized_eval_id,rev_status
405,2,5,2,205,20502,500089,0,3,1,12,13,11,9,14,16,17,15,0,0,54,53,107,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17.830000000000002,176,1,3,35.67,1,107,8,13.38,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
406,2,5,3,205,20503,501447,0,3,1,18,9,17,14,15,8,19,19,0,0,69,50,119,0,0.1111,0,0,0.06670000000000001,0,0,0.05260000000000001,0,0,0.0145,0.04,0.0252,3,39.67,255,0,5,23.8,0,-999,4,29.75,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
407,2,5,3,205,20503,501665,0,3,1,6,10,9,7,6,4,9,2,0,0,30,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.63,-999,0,0,-999,0,-999,1,53,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
408,2,5,4,205,20504,500019,0,3,1,19,17,36,20,31,14,16,13,0,0,102,64,166,0.05260000000000001,0,0,0,0,0.0714,0,0,0,0,0.0098,0.0156,0.012,8,20.75,218,1,8,20.75,50,3.32,11,15.09,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
409,2,5,4,205,20504,500072,0,3,1,24,17,24,36,27,30,22,25,0,0,97,108,205,0,0,0.0833,0.0278,0.1481,0.0333,0.0909,0.08,0,0,0.0825,0.037,0.0585,7,29.29,215,1,7,29.29,42,4.880952381,15,13.67,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
410,2,5,4,205,20504,500079,0,3,2,17,13,17,22,23,23,15,19,0,0,72,77,149,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24.830000000000002,167,1,9,16.56,0,-999,9,16.56,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
411,2,5,4,205,20504,500732,0,3,1,9,12,13,5,12,3,6,10,0,0,40,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,25,3,2,35,51,1.3725490200000001,4,17.5,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
412,2,5,4,205,20504,501133,0,3,1,9,10,11,11,10,6,12,8,0,0,42,35,77,0,0,0,0,0,0,0.0833,0,0,0,0.023799999999999998,0,0.013000000000000001,1,77,-999,0,4,19.25,86,0.8953488370000001,3,25.67,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
413,2,5,6,205,20506,501434,0,3,1,23,11,22,13,20,13,9,12,0,0,74,49,123,0,0,0,0,0,0,0.1111,0,0,0,0.013500000000000002,0,0.0081,-999,-999,-999,0,0,-999,0,-999,5,24.6,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
414,2,5,8,205,20508,501316,0,3,1,22,19,16,26,15,26,12,16,0,0,65,87,152,0.2727,0.1053,0.0625,0.0385,0.06670000000000001,0.0385,0.16670000000000001,0.125,0,0,0.15380000000000002,0.06899999999999999,0.1053,2,76,70,2,2,76,5,30.4,1,152,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
415,2,5,9,205,20509,501180,0,3,1,16,22,23,21,18,24,18,25,0,0,75,92,167,0.0625,0.0455,0.043500000000000004,0.0476,0,0,0,0,0,0,0.0267,0.0217,0.024,12,13.92,170,1,11,15.18,14,11.928571429999998,13,12.850000000000001,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
416,2,5,14,205,20514,501315,0,3,1,12,5,6,7,12,7,11,13,0,0,41,32,73,0,0,0,0,0.0833,0,0,0,0,0,0.0244,0,0.0137,2,36.5,53,1,2,36.5,0,-999,1,73,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
417,2,5,15,205,20515,500970,0,3,1,25,23,18,15,19,13,14,19,0,0,76,70,146,0.08,0,0.1111,0.06670000000000001,0,0,0,0,0,0,0.05260000000000001,0.0143,0.0342,-999,-999,-999,0,0,-999,99,1.474747475,4,36.5,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
418,2,5,18,205,20518,500467,0,3,1,15,17,18,20,20,21,18,20,0,0,71,78,149,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37.25,200,1,7,21.29,135,1.103703704,5,29.8,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
419,2,5,18,205,20518,501142,0,3,1,11,14,12,14,13,9,11,9,0,0,47,46,93,0,0,0.0833,0,0,0,0,0,0,0,0.021300000000000003,0,0.0108,3,31,61,2,4,23.25,38,2.4473684209999997,4,23.25,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
420,2,5,10,205,20510,501309,0,3,1,15,3,11,5,16,13,9,4,0,0,51,25,76,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25.330000000000002,37,2,1,76,0,-999,1,76,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
421,2,5,10,205,20510,501310,0,3,1,11,16,16,17,11,12,12,15,0,0,50,60,110,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27.5,110,1,1,110,2,55,2,55,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
422,2,5,16,205,20516,501311,0,3,1,7,3,4,6,4,6,4,8,0,0,19,23,42,0.14290000000000003,0.3333,0,0,0.25,0,0,0,0,0,0.1053,0.043500000000000004,0.0714,-999,-999,88,0,0,-999,0,-999,4,10.5,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
423,2,5,19,205,20519,501313,0,3,1,16,14,11,12,20,11,12,7,0,0,59,44,103,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,104,1,1,103,0,-999,3,34.33,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
424,2,5,20,205,20520,500071,0,3,1,7,13,26,22,19,12,13,18,0,0,65,65,130,0.14290000000000003,0.07690000000000001,0.07690000000000001,0,0.05260000000000001,0,0.07690000000000001,0,0,0,0.07690000000000001,0.015399999999999999,0.0462,5,26,159,1,9,14.44,0,-999,9,14.44,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
425,2,5,21,205,20521,500067,0,3,1,14,15,19,10,19,21,15,10,0,0,67,56,123,0,0,0.05260000000000001,0.1,0,0,0.06670000000000001,0.1,0,0,0.0299,0.035699999999999996,0.0325,4,30.75,76,2,8,15.38,0,-999,8,15.38,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
426,2,5,24,205,20524,501917,0,3,1,6,10,11,8,5,11,5,15,0,0,27,44,71,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,50,1,4,17.75,0,-999,3,23.67,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
427,2,5,25,205,20525,502549,0,3,1,15,16,0,0,0,0,0,0,0,0,15,16,31,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,0,-999,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
428,2,5,26,205,20526,500013,0,3,1,25,17,28,25,23,27,20,25,0,0,96,94,190,0.04,0,0.0714,0.08,0.13040000000000002,0.037,0,0,0,0,0.0625,0.0319,0.0474,2,95,-999,0,6,31.67,0,-999,11,17.27,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
429,2,5,26,205,20526,500015,0,3,1,35,25,17,26,14,26,12,21,0,0,78,98,176,0.1143,0,0,0,0.21430000000000002,0,0.0833,0.0952,0,0,0.10260000000000001,0.0204,0.0568,9,19.56,140,1,8,22,3,58.66666667,12,14.67,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
430,2,5,26,205,20526,500083,0,3,1,19,8,14,10,10,13,8,14,0,0,51,45,96,0,0,0,0,0,0.07690000000000001,0,0,0,0,0,0.022199999999999998,0.0104,1,96,78,1,5,19.2,0,-999,8,12,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
431,2,5,28,205,20528,501615,0,3,1,22,8,15,26,22,12,17,12,0,0,76,58,134,0.0455,0,0.06670000000000001,0.1154,0,0.0833,0,0,0,0,0.026300000000000004,0.06899999999999999,0.0448,-999,-999,100,1,0,-999,0,-999,3,44.67,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
432,2,5,29,205,20529,500011,0,3,1,30,21,22,31,23,22,25,20,0,0,100,94,194,0.06670000000000001,0.0952,0.13640000000000002,0.0645,0.043500000000000004,0.0455,0.04,0.1,0,0,0.07,0.07450000000000001,0.07220000000000001,3,64.66999999999999,157,1,4,48.5,63,3.0793650789999996,9,21.56,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
433,2,5,29,205,20529,500069,0,3,1,11,4,7,12,21,10,15,8,0,0,54,34,88,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17.6,73,1,7,12.57,46,1.9130434779999999,7,12.57,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
434,2,5,29,205,20529,501150,0,3,1,14,17,16,18,21,21,15,15,0,0,66,71,137,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,3,45.67,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
435,2,5,29,205,20529,501588,0,3,1,18,15,16,17,16,9,14,17,0,0,64,58,122,0,0,0,0,0.0625,0,0,0,0,0,0.0156,0,0.0082,-999,-999,115,1,0,-999,1,122,3,40.67,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
436,2,5,29,205,20529,501675,0,3,1,26,14,27,27,26,18,23,25,0,0,102,84,186,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26.57,90,2,6,31,0,-999,6,31,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
437,2,5,29,205,20529,501894,0,3,1,20,9,5,6,13,14,0,0,0,0,38,29,67,0.05,0,0,0,0.3077,0.0714,0,0,0,0,0.1316,0.0345,0.0896,-999,-999,10,7,0,-999,0,-999,1,67,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
438,2,5,29,205,20529,502130,0,3,1,19,15,4,6,16,8,0,0,0,0,39,29,68,0.05260000000000001,0,0.25,0,0.0625,0,0,0,0,0,0.07690000000000001,0,0.0441,-999,-999,70,1,0,-999,0,-999,1,68,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
439,2,5,29,205,20529,500085,0,3,1,10,10,11,10,8,6,7,8,0,0,36,34,70,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,70,1,5,14,0,-999,8,8.75,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
440,2,5,29,205,20529,500095,0,3,1,44,35,55,58,34,32,37,33,0,0,170,158,328,0.0455,0.057100000000000005,0.1273,0.0517,0.0882,0.0313,0.10810000000000002,0.0909,0,0,0.0941,0.057,0.07620000000000002,7,46.86,227,1,9,36.44,5,65.6,15,21.87,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
441,2,5,29,205,20529,500501,0,3,1,13,11,19,14,16,10,10,14,0,0,58,49,107,0.07690000000000001,0,0.05260000000000001,0,0,0.1,0,0.0714,0,0,0.0345,0.0408,0.037399999999999996,-999,-999,15,7,0,-999,0,-999,7,15.29,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
442,2,5,29,205,20529,500502,0,3,1,13,12,23,13,19,16,15,9,0,0,70,50,120,0.2308,0,0.043500000000000004,0,0.21050000000000002,0.0625,0,0,0,0,0.1143,0.02,0.07500000000000001,-999,-999,-999,0,0,-999,43,2.790697674,10,12,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
443,2,5,29,205,20529,501132,0,3,1,28,16,24,20,20,21,16,15,0,0,88,72,160,0,0,0,0,0,0,0.125,0.06670000000000001,0,0,0.022699999999999998,0.013900000000000001,0.0188,-999,-999,96,2,2,80,50,3.2,2,80,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
444,2,5,30,205,20530,501888,0,3,1,20,9,18,24,10,12,9,18,0,0,57,63,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,-999,0,0,-999,0,-999,5,24,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
445,2,5,33,205,20533,501307,0,3,1,18,7,9,7,15,12,7,15,0,0,49,41,90,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,90,1,3,30,0,-999,3,30,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
446,2,5,33,205,20533,501323,0,3,1,19,17,20,24,35,17,24,22,0,0,98,80,178,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59.33,80,2,3,59.33,0,-999,3,59.33,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
447,2,5,34,205,20534,501317,0,3,1,17,11,29,16,24,8,18,13,0,0,88,48,136,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45.33,119,1,5,27.2,0,-999,4,34,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
448,2,5,34,205,20534,501319,0,3,1,19,16,27,25,18,28,25,23,0,0,89,92,181,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,6,30.17,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
449,2,5,1,205,20501,300576,1,2,1,62,55,79,80,80,77,85,91,7,6,313,309,622,0.1129,0,0.07590000000000001,0.0125,0.0375,0.039,0.058800000000000005,0.054900000000000004,0,0,0.0671,0.029099999999999997,0.0482,17,36.28,604,1,31,20.16,16,38.875,25,24.88,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
450,2,5,1,205,20501,300565,0,2,1,87,82,82,81,76,81,81,101,0,0,326,345,671,0.1149,0.0244,0.1341,0.0247,0.15790000000000004,0.0123,0.0988,0.029699999999999997,0,0,0.1258,0.0232,0.07300000000000001,16,41.65,658,1,19,35.48,20,33.55,28,23.959999999999997,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
451,2,5,2,205,20502,300506,0,2,1,38,32,41,39,44,43,49,43,0,0,172,157,329,0.05260000000000001,0,0.0976,0.0256,0.06820000000000001,0.0233,0,0,0,0,0.052300000000000006,0.0127,0.0334,13,25.939999999999998,194,2,33,10.02,0,-999,18,18.279999999999998,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
452,2,5,2,205,20502,300501,1,2,1,79,74,93,107,107,105,103,106,0,0,382,392,774,0.038,0,0.043000000000000003,0.0093,0.0935,0.0286,0.1068,0.0377,0,0,0.0733,0.0204,0.0465,15,50.309999999999995,641,1,11,69.48,45,17.2,33,23.45,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
453,2,5,2,205,20502,300502,0,2,1,28,26,27,24,31,35,42,31,0,0,128,116,244,0,0.0385,0,0.0417,0.0323,0.08570000000000001,0,0.0323,0,0,0.0078000000000000005,0.0517,0.0287,6,38.879999999999995,52,5,7,34.56,2,122,13,18.77,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
454,2,5,4,205,20504,300503,1,2,1,106,115,122,109,122,138,138,140,0,0,488,502,990,0.009399999999999999,0.0087,0.0492,0.0092,0.041,0.0072,0.0145,0,0,0,0.0287,0.006,0.0172,23,42.77,740,1,27,36.260000000000005,89,11.123595510000001,44,22.5,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
455,2,5,4,205,20504,300546,0,2,1,54,62,66,50,51,60,60,71,0,0,231,243,474,0.0926,0.0323,0.10610000000000001,0.04,0.0196,0.0333,0.0833,0.0282,0,0,0.07790000000000001,0.0329,0.054900000000000004,15,32.39,401,1,22,21.29,0,-999,29,16.34,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
456,2,5,5,205,20505,300509,0,2,2,51,64,80,70,84,95,84,67,0,0,299,296,595,0,0,0.08750000000000001,0.0286,0.0714,0.0316,0.0476,0.0149,0,0,0.0569,0.020300000000000002,0.0387,23,25.479999999999997,602,1,51,11.62,125,4.76,25,23.8,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
457,2,5,5,205,20505,300510,0,2,1,56,57,78,62,66,71,67,62,0,0,267,252,519,0.017900000000000003,0,0.0385,0.0161,0.0303,0.042300000000000004,0,0,0,0,0.0225,0.0159,0.0193,14,36.349999999999994,189,3,17,30.29,1,519,20,25.95,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
458,2,5,5,205,20505,300511,0,2,1,55,57,77,63,66,77,73,68,0,0,271,265,536,0.036399999999999995,0,0.039,0,0.0303,0.039,0.041100000000000005,0,0,0,0.036899999999999995,0.0113,0.024300000000000002,20,26.69,560,1,37,14.33,61,8.786885246,27,19.85,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
459,2,5,6,205,20506,300520,1,2,1,213,208,209,217,262,241,272,233,0,0,956,899,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37.86,-999,1,61,30.41,7,265,93,19.95,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
460,2,5,6,205,20506,300521,1,2,2,96,81,103,105,115,116,96,112,0,0,410,414,824,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27.6,878,1,39,21.05,81,10.172839510000003,44,18.73,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
461,2,5,6,205,20506,300522,0,2,1,86,72,68,78,79,95,103,84,0,0,336,329,665,0,0,0,0,0,0,0,0,0,0,0,0,0,19,35.54,279,2,22,30.150000000000002,63,10.555555560000002,18,36.94,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
462,2,5,8,205,20508,300523,0,2,1,66,72,72,69,70,82,85,75,0,0,293,298,591,0.0758,0.0278,0.0417,0.043500000000000004,0.0429,0.0122,0.0235,0.013300000000000001,0,0,0.044399999999999995,0.0235,0.033800000000000004,14,41.05,434,1,19,31.58,25,23.64,23,25.7,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
463,2,5,9,205,20509,300585,0,2,2,71,71,85,84,95,90,104,99,0,0,355,344,699,0,0.0141,0.0118,0.035699999999999996,0.0105,0.011099999999999999,0.0192,0,0,0,0.0113,0.0145,0.0129,31,22.55,686,1,41,17.05,41,17.04878049,32,21.84,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
464,2,5,9,205,20509,300587,0,2,2,68,65,69,81,70,68,66,75,0,0,273,289,562,0,0,0.043500000000000004,0.037,0,0.0147,0,0,0,0,0.011,0.013800000000000002,0.0125,19,30.03,501,1,26,21.779999999999998,65,8.646153845999999,18,31.22,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
465,2,5,12,205,20512,300541,0,2,2,43,23,64,34,51,43,56,71,0,0,214,171,385,0.06979999999999999,0,0,0,0.0196,0,0.017900000000000003,0.0141,0,0,0.0234,0.0058000000000000005,0.0156,13,30.3,286,1,16,24.24,43,8.953488372000002,21,18.330000000000002,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
466,2,5,12,205,20512,300611,1,2,1,142,122,145,118,142,146,148,150,0,0,577,536,1113,0.0282,0.0328,0.0207,0.025400000000000002,0.042300000000000004,0.041100000000000005,0.027,0.02,0,0,0.0295,0.0299,0.029599999999999998,29,38.879999999999995,994,1,47,23.439999999999998,11,101.1818182,42,26.5,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
467,2,5,12,205,20512,300612,0,2,1,158,160,165,189,196,197,176,182,0,0,695,728,1423,0.0127,0,0.0061,0,0.025500000000000002,0.025400000000000002,0.017,0.011,0,0,0.015799999999999998,0.0096,0.0126,25,56.42,610,2,33,43.760000000000005,61,23.327868850000005,50,28.459999999999997,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
468,2,5,12,205,20512,300529,1,2,1,100,90,91,85,104,104,135,105,0,0,430,384,814,0.05,0.022199999999999998,0.044,0.0353,0.0096,0,0.037,0.0095,0,0,0.0349,0.0156,0.0258,28,28.75,-999,1,37,21.810000000000002,138,5.898550725,40,20.35,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
469,2,5,12,205,20512,300566,0,2,1,39,21,39,32,41,34,44,40,0,0,163,127,290,0.0256,0,0.0256,0,0.0488,0,0.022699999999999998,0,0,0,0.030699999999999998,0,0.0172,11,26.24,218,1,1,223,18,16.111111110000007,13,22.310000000000002,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
470,2,5,12,205,20512,300533,0,2,1,46,28,47,44,53,45,62,50,0,0,208,167,375,0,0,0.042600000000000006,0,0.018900000000000004,0.022199999999999998,0,0.02,0,0,0.0144,0.012,0.013300000000000001,15,25,265,1,26,14.47,0,-999,18,20.830000000000002,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
471,2,5,12,205,20512,300539,0,2,1,47,29,38,39,32,39,43,44,0,0,160,151,311,0.021300000000000003,0,0.05260000000000001,0.051300000000000005,0.0938,0,0.0465,0.022699999999999998,0,0,0.05,0.0199,0.035399999999999994,10,30.77,235,1,24,12.9,4,77.75,13,23.919999999999998,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
472,2,5,13,205,20513,300537,1,2,2,112,108,131,115,138,121,133,126,0,0,514,470,984,0.08929999999999999,0,0.0382,0.0261,0.07250000000000001,0.033100000000000004,0.07520000000000002,0.0397,0,0,0.06810000000000001,0.025500000000000002,0.0478,52,18.99,992,1,47,20.89,44,22.363636359999997,64,15.38,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
473,2,5,13,205,20513,300559,0,2,1,61,41,76,68,71,80,69,77,0,0,277,266,543,0.0328,0,0.026300000000000004,0.0294,0.0563,0.0125,0.0145,0,0,0,0.0325,0.0113,0.022099999999999998,19,29,695,1,27,19.89,40,13.575000000000001,25,21.72,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
474,2,5,14,205,20514,300524,1,2,1,53,37,65,66,61,59,49,53,0,0,228,215,443,0.0377,0,0.0462,0,0.0164,0.0339,0.0408,0,0,0,0.0351,0.0093,0.0226,18,24.23,349,1,23,19.69,45,9.844444444,21,21.1,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
475,2,5,14,205,20514,300600,0,2,2,38,43,36,39,39,42,48,36,0,0,161,160,321,0,0.0233,0,0,0,0,0.0417,0,0,0,0.0124,0.0063,0.0093,12,26,228,1,9,37.379999999999995,34,9.441176470999999,22,14.59,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
476,2,5,14,205,20514,300498,1,2,2,23,17,15,11,14,10,13,13,0,0,65,51,116,0.043500000000000004,0,0,0.0909,0,0,0,0,0,0,0.015399999999999999,0.0196,0.0172,5,21.630000000000003,114,1,5,24.71,0,-999,14,8.29,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
477,2,5,14,205,20514,300555,1,2,1,150,141,184,164,187,173,193,209,0,0,714,687,1401,0.0267,0,0.05430000000000001,0.0244,0.032100000000000004,0.0116,0.0311,0.0048000000000000004,0,0,0.036399999999999995,0.0102,0.0236,41,33.89,907,2,82,17.19,55,25.472727269999993,67,20.91,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
478,2,5,14,205,20514,306121,0,2,1,18,17,14,14,12,19,16,23,0,0,60,73,133,0.055600000000000004,0.11760000000000001,0.14290000000000003,0,0,0,0,0.043500000000000004,0,0,0.05,0.041100000000000005,0.0451,4,31.830000000000002,167,1,3,38.2,6,22.166666669999998,4,33.25,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
479,2,5,15,205,20515,300558,1,2,1,105,85,103,124,97,114,100,117,0,0,405,440,845,0.019,0,0.0485,0.0081,0.0412,0.0175,0.02,0,0,0,0.032100000000000004,0.0068000000000000005,0.018900000000000004,29,29.130000000000003,709,1,43,19.56,17,49.70588235,41,20.610000000000003,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
480,2,5,15,205,20515,306150,0,2,1,40,35,45,27,49,33,47,29,0,0,181,124,305,0.025,0.0286,0.022199999999999998,0,0.0204,0.0303,0.08510000000000001,0.0345,0,0,0.0387,0.0242,0.0328,16,19.21,337,1,24,12.46,57,5.3508771930000005,16,19.06,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
481,2,5,17,205,20517,300561,0,2,1,64,64,65,71,68,73,88,65,0,0,285,273,558,0.0156,0.0156,0.015399999999999999,0,0.0441,0,0.0795,0.0462,0,0,0.042100000000000005,0.0147,0.0287,20,28.07,586,1,43,13.1,31,18,43,12.98,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
482,2,5,17,205,20517,306110,1,2,1,95,91,87,90,88,79,90,87,0,0,360,347,707,0.07370000000000002,0.022,0.0805,0.022199999999999998,0.034100000000000005,0.050600000000000006,0.1333,0.0115,0,0,0.0806,0.025900000000000003,0.053700000000000005,17,41.58,572,1,16,43.24,72,9.819444444000002,31,22.810000000000002,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
483,2,5,17,205,20517,306166,0,2,1,77,71,62,81,75,80,74,68,0,0,288,300,588,0.013000000000000001,0,0,0,0.013300000000000001,0,0,0,0,0,0.0069,0,0.0034000000000000002,18,32.61,355,2,31,19.23,20,29.4,8,73.5,11,1,2,6,2,0,15,6,43,5,1,1,0,NA,NA
484,2,5,18,205,20518,300563,1,2,1,160,143,158,159,185,179,146,176,0,0,649,657,1306,0.05,0.021,0.057,0.0126,0.05410000000000001,0.0335,0.0479,0.0284,0,0,0.0524,0.0244,0.0383,37,35.6,-999,1,32,41.41,101,12.93069307,45,29.02,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
485,2,5,10,205,20510,300526,0,2,1,47,41,47,43,46,50,52,43,0,0,192,177,369,0.10640000000000001,0.0244,0,0,0.0217,0,0.0385,0,0,0,0.0417,0.0056,0.0244,18,20.439999999999998,603,1,21,17.25,12,30.75,19,19.419999999999998,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
486,2,5,11,205,20511,300549,0,2,1,42,33,18,29,35,34,22,28,0,0,117,124,241,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27.77,137,2,11,22.56,0,-999,14,17.21,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
487,2,5,19,205,20519,300554,0,2,2,42,36,23,39,42,47,37,36,0,0,144,158,302,0,0,0,0,0,0.021300000000000003,0.027,0,0,0,0.0069,0.0063,0.0066,14,21.479999999999997,410,1,14,21.479999999999997,51,5.921568627,29,10.41,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
488,2,5,16,205,20516,300560,0,2,1,29,30,25,18,23,31,25,27,0,0,102,106,208,0.0345,0,0,0,0.043500000000000004,0.0323,0,0,0,0,0.0196,0.009399999999999999,0.0144,12,16.9,308,1,9,23.67,0,-999,14,14.860000000000001,11,1,2,6,2,0,15,6,43,5,1,0,0,NA,NA
